dataset,model,include_non_intersection_frac,balanced_accuracy_mean,macro_f1_mean,accuracy_mean,macro_precision_mean,macro_recall_mean,weighted_f1_mean,mcc_mean,cohen_kappa_mean,macro_roc_auc_ovr_mean,weighted_roc_auc_ovr_mean,macro_pr_auc_ovr_mean,log_loss_mean,brier_score_mean,ece_mean,balanced_accuracy_sd,macro_f1_sd,accuracy_sd,macro_precision_sd,macro_recall_sd,weighted_f1_sd,mcc_sd,cohen_kappa_sd,macro_roc_auc_ovr_sd,weighted_roc_auc_ovr_sd,macro_pr_auc_ovr_sd,log_loss_sd,brier_score_sd,ece_sd,n_units
TCGA-KIPAN,logreg_early,0.0,0.9772712633582198,0.9795409835973171,0.9816993464052288,0.9839118479480798,0.9772712633582198,0.9816106443621183,0.969732012823537,0.9691408224367571,0.9980906975164013,0.9982674166340422,0.995215224307437,0.08111134811860991,0.029225095514011534,0.029082662587610733,0.000569917917904752,0.0027064136049923236,0.0009803921568627139,0.004760558881225515,0.000569917917904752,0.0008957518049586551,0.001386505455624392,0.0014435547363316208,0.0011416034163419506,0.0008715425180530142,0.003001417744230036,0.005435663236636409,0.0017465336030237958,0.001344658332268538,3
TCGA-KIPAN,logreg_early,0.25,0.9721011587006482,0.9677679175004057,0.9771442914515204,0.9668764409140355,0.9721011587006482,0.9773298681277405,0.960502220605432,0.9599107040238842,0.9964685311646901,0.9967989559457625,0.9899361033968708,0.10898936238994812,0.03972082570813904,0.030641902628422313,0.013352312721668622,0.016249467708088598,0.00844706974274372,0.017379570808844648,0.013352312721668622,0.00836408605109175,0.014603366760633564,0.01487076906392962,0.000869950032576616,0.0004335212520492986,0.005152549957519442,0.015256700896678424,0.011636383574413064,0.006225369798457842,3
TCGA-KIPAN,logreg_early,0.5,0.9568441841014593,0.9444624314664386,0.9650857904381143,0.9371600364799934,0.9568441841014593,0.96568386028094,0.9377020763899254,0.9368729709117295,0.9945835173226053,0.9952503875979243,0.9829606319428912,0.16725055181286685,0.057866473621657644,0.03815320314954885,0.004157128998492373,0.00974875918435077,0.005370225866771472,0.014204006920043116,0.004157128998492373,0.005021311766743905,0.00958339901894214,0.009942219040707278,0.0006919023984333451,0.0013021261744327296,0.00470793757858471,0.037960663533429556,0.009699507213174011,0.003405888552104388,3
TCGA-KIPAN,logreg_early,0.75,0.9564853671202957,0.9440955685291845,0.9642642642642643,0.9359616529356826,0.9564853671202957,0.9647736140783016,0.9350319941755244,0.9344006803340923,0.9954427590626959,0.9954964399473689,0.986822678937703,0.15491513742533292,0.05971505139544995,0.035867682051790334,0.0020417313601213184,0.00486655440940976,0.0023897588652248324,0.009500875437679968,0.0020417313601213184,0.0020273966497701317,0.003955740519397239,0.004301595433580231,0.0004896821046045177,9.347634962659961e-05,0.0016704848806432708,0.011657498356189027,0.0029333167199622873,0.0007080561362742746,3
TCGA-KIPAN,logreg_early,1.0,0.9569595471464659,0.9424637869409179,0.9644009617352158,0.9324633925853177,0.9569595471464659,0.9649506694759915,0.934798095935402,0.9342154390845067,0.994347123149064,0.9952597022567694,0.985757652354736,0.15358836993512195,0.05884392768661562,0.034260881994446823,0.00422720730194594,0.0018161746926334656,0.0013829339096669093,0.0010330357085361647,0.00422720730194594,0.0014029429288085272,0.0025864814761112805,0.0025769424681943267,0.004053864487948762,0.002102324863372219,0.005261454800692104,0.020398537026619853,0.0024241233144571086,0.0017839241938600833,3
TCGA-KIPAN,logreg_late,0.0,0.9688854730883717,0.971562272520872,0.9706971677559912,0.9764908387372154,0.9688854730883717,0.9705681976797509,0.9514227523497608,0.9505139889571113,0.9972980000299674,0.9978066646726435,0.9930413790504681,0.2368061396739829,0.0912184503086952,0.17394174449222632,0.0020524008737275302,0.002109201893168999,0.0026414718198218556,0.0020901897751999174,0.0020524008737275302,0.0026798618820130997,0.004176575233659998,0.0044418505452391045,0.00032043307770281777,0.00045279317648942653,0.0010141323598357051,0.0014061150026231316,0.0006995678273750909,0.0017493652463580563,3
TCGA-KIPAN,logreg_late,0.25,0.9673354072954562,0.9551768968302773,0.9665216421240518,0.9471341902258444,0.9673354072954562,0.9668717510269009,0.9425370465596586,0.9416247174109676,0.9944767490240913,0.9948501559597913,0.9803631007742935,0.23130217069322057,0.09026025507200852,0.14694533334764456,0.006755281617877809,0.0073712174761026775,0.00555436754309405,0.007135601114772013,0.006755281617877809,0.005459377016536803,0.009344047103207166,0.009771504325165919,0.002032353385065897,0.002366468301157488,0.011745496650666385,0.02390065799603465,0.008069387968892526,0.003503172409735917,3
TCGA-KIPAN,logreg_late,0.5,0.9684613836889314,0.9576024238727228,0.9692674496085291,0.9505957068642341,0.9684613836889314,0.9695897992741754,0.944995726827368,0.9443552620282052,0.9951695894190862,0.9957451080770516,0.9817127335803152,0.22021948855404902,0.08742819510529258,0.14082642957784597,0.0018217465421991902,0.005066751463953325,0.002096538265633613,0.009866823896223405,0.0018217465421991902,0.0019158258732169676,0.003674622926256362,0.004010281091136178,0.0005749706046419732,0.0006274695358278626,0.0038653611216321886,0.006661378329937316,0.0004170799897796734,0.004364166214669751,3
TCGA-KIPAN,logreg_late,0.75,0.967610144089528,0.9537948003147069,0.9682807807807808,0.9433951822847018,0.967610144089528,0.9687263214552422,0.9424713520453327,0.9418298825698611,0.9961816379653298,0.9961393604730122,0.9809796801460565,0.21081298655059968,0.08393057800253667,0.13244850345642753,0.00195638906878218,0.004438434983486126,0.0016715798857517518,0.005573345200224036,0.00195638906878218,0.0015017271210560675,0.0028776486497596636,0.003147878636111575,0.00032733392750132994,0.00032324995513566957,0.003722574652983562,0.0020938503290991724,0.001400847627493508,0.004449178394054242,3
TCGA-KIPAN,logreg_late,1.0,0.9709930782265435,0.9571084593497069,0.9706854921219562,0.9460241435685872,0.9709930782265435,0.9710379447427719,0.9461824699858904,0.9457526565203075,0.9966594301646804,0.9964527004161933,0.9834694523798326,0.20030130606245003,0.07977127747920237,0.12661364974058775,0.0003552987835282684,0.0010543022926712063,0.0008479191183567882,0.002039365054136389,0.0003552987835282684,0.0008871206026732191,0.0015079207336939893,0.001556185277871166,0.00019459976808736807,0.00020275847202721526,0.0017816264815020536,0.0016907160141902747,0.0004496968160814117,0.0015939444326332202,3
