dataset,model,ratio_per_omic,balanced_accuracy_mean,macro_f1_mean,accuracy_mean,macro_precision_mean,macro_recall_mean,weighted_f1_mean,mcc_mean,cohen_kappa_mean,macro_roc_auc_ovr_mean,weighted_roc_auc_ovr_mean,macro_pr_auc_ovr_mean,log_loss_mean,brier_score_mean,ece_mean,balanced_accuracy_sd,macro_f1_sd,accuracy_sd,macro_precision_sd,macro_recall_sd,weighted_f1_sd,mcc_sd,cohen_kappa_sd,macro_roc_auc_ovr_sd,weighted_roc_auc_ovr_sd,macro_pr_auc_ovr_sd,log_loss_sd,brier_score_sd,ece_sd,n_units
TCGA-BRCA,logreg_late,0.0001,0.7713153711481943,0.7306611114541885,0.7234737302171513,0.7180247630216469,0.7713153711481943,0.7343467954383098,0.6067395305889756,0.5923207735562899,0.8994258309342632,0.8725284045425231,0.7680489204007467,0.9285613835618336,0.5085616371150352,0.29654235200885676,0.0007684364077926183,0.002465665902449074,0.0018204375171079255,0.002773612955141453,0.0007684364077926183,0.0015790933633116463,0.0018904510719080924,0.002284262147628155,0.0006793000697232858,0.0006565626218756129,0.004248623478931689,0.0006076337840673417,0.0005776663358848314,0.0019933951626287224,3
TCGA-BRCA,logreg_late,0.001,0.830694320766238,0.8122937004081067,0.8040884554042448,0.8037262272577594,0.830694320766238,0.8096225936764313,0.7035148921265675,0.6991507087449874,0.940489951337052,0.9247052122723401,0.8557143377129028,0.7417040372973159,0.39915417842936013,0.2855177760758682,0.003889003233603667,0.0049214759570513425,0.0026120452082697256,0.006264547999807936,0.003889003233603667,0.0030419189893215524,0.003994774821418409,0.004069328502919403,0.0011673488168005314,0.0011513349582161349,0.004506047881313799,0.0009360796013065954,0.0011518926642818139,0.0023247069311626758,3
TCGA-BRCA,logreg_late,0.01,0.8563082037190238,0.8492888192204179,0.8635374493927125,0.8467936466897279,0.8563082037190238,0.8638283625273826,0.7855690416286469,0.7844900211375984,0.9669454897023946,0.9601193762379626,0.9132504618232544,0.5024731549801701,0.25914273055535325,0.2005061960804527,0.007160090773712685,0.007645048998621376,0.008823666779692046,0.007959336874708348,0.007160090773712685,0.009347193963372004,0.013781463355756697,0.014215584369391394,0.0021567531671902525,0.00279482899268535,0.002424330622950166,0.006864290843836243,0.0041106943265794595,0.006624332774327987,3
TCGA-BRCA,logreg_late,0.02,0.8603497360798826,0.8546550062840002,0.8727322567783095,0.8543860222292126,0.8603497360798826,0.8724792369194777,0.7995542168875964,0.798472533691644,0.9703521860775979,0.9648979227480031,0.9166792716936426,0.44441528597883123,0.2302110303349916,0.16383328066414732,0.003730940856661083,0.005157587014617983,0.006723151001186415,0.0061286022623652445,0.003730940856661083,0.006796270554278583,0.009844072190941675,0.010421073497429054,0.001143523650172519,0.001538773646861073,0.0045916696054026105,0.004379836250467984,0.0033918767316837494,0.0068174443507974004,3
TCGA-BRCA,logreg_late,0.05,0.8679822509602219,0.8612852797219369,0.8762433290393816,0.8586174749927705,0.8679822509602219,0.8764032074941612,0.8050752401040081,0.8042398483117917,0.9729354041152286,0.9670663582288482,0.919197646719931,0.39213405064693685,0.20656078053066088,0.1283481054048643,0.001574092976691605,0.002266314668867229,0.002811421947607807,0.003835928077926189,0.001574092976691605,0.0027256817160759956,0.003727763867740907,0.003937874082996052,0.0011398611855840295,0.0014240575708364708,0.0033521187649311127,0.010229101644840468,0.0029559404576991835,0.0006398687134620473,3
TCGA-BRCA,logreg_late,0.1,0.8589923250049107,0.8587787880176198,0.8767313826524353,0.8636718570933711,0.8589923250049107,0.8759434069327403,0.8044191085106182,0.8033297573087642,0.9727184378232074,0.9669541315533933,0.9172546888817864,0.3707042763285542,0.198885784600586,0.10746537353479373,0.0027357476404507065,0.005132245921668672,0.0025668739549643133,0.00616856617524337,0.0027357476404507065,0.0027398974396600803,0.0035456111346956203,0.003935329798814456,0.0002993094797635096,0.001038134510552294,0.002290231549401018,0.0021886570438180678,0.00146354660484396,0.002802636329492611,3
TCGA-BRCA,logreg_late,0.2,0.854669504434805,0.8582610965922016,0.8761655011655011,0.8671004589512298,0.854669504434805,0.8749167588061444,0.803011502445513,0.80186003596764,0.9720985539536171,0.9664484944678403,0.9169346142673404,0.35643603562464937,0.19355740390526135,0.09462511700442788,0.000705929799767142,0.0028925014993830636,0.0031684464694761057,0.006582216077464916,0.000705929799767142,0.0029080235702295784,0.004554628971298269,0.004674568858080993,0.0005005068173973661,0.0005484526985615411,0.001182404173754303,0.004685677046131852,0.0031246326547940705,0.0016723239452494593,3
TCGA-BRCA,logreg_late,0.25,0.8571420757181474,0.860793173573609,0.8786437246963562,0.8693943244015004,0.8571420757181474,0.877274696362766,0.806721434909231,0.8057305937266199,0.9717975554673844,0.9662792001964599,0.917112524991667,0.35505338057731456,0.19183715721566288,0.09197624097111624,0.0020255466357813347,0.0034167104757823383,0.0027728818697767784,0.0047852837707108445,0.0020255466357813347,0.002348163395947402,0.0038146744190012197,0.0038256722452223372,0.0008315262762897978,0.0010933105079470322,0.0023336811949126847,0.003795874476044297,0.001913031431012373,0.004505829726398902,3
TCGA-BRCA,logreg_late,0.5,0.8392319897582937,0.8463169539738248,0.8697728806281438,0.8607962275954706,0.8392319897582937,0.8669512353360703,0.7924437853658199,0.7904368932436444,0.9673195726989556,0.9623055445670121,0.9109179115715413,0.36757352824957806,0.19646523746352784,0.07589297874931873,0.007817563281692952,0.005996451664137069,0.0042952133045623744,0.004526417969942643,0.007817563281692952,0.004502023676087483,0.0067515333445759065,0.007161717072282598,0.0018883441028079955,0.0016033923888663906,0.0003379756867460401,0.007139978987604491,0.0018256302941201013,0.0007963496214634064,3
TCGA-BRCA,logreg_late,0.75,0.833531018114633,0.8420656508922472,0.865936311495522,0.8586521207671328,0.833531018114633,0.8626050400287717,0.7860684342826184,0.7836943211884261,0.9651902356880591,0.9598695963000164,0.9053699605480084,0.37509434622181576,0.20095736028295189,0.07612153745734561,0.00482858173926797,0.0029517966824182695,0.0008747509270938563,0.00485277507099611,0.00482858173926797,0.0009051173588889701,0.001817322778001051,0.0013148943680343283,0.002896000869994491,0.003348013895275265,0.0025605204292338994,0.014604049900855837,0.0048834718010380375,0.003988865925276094,3
TCGA-BRCA,logreg_late,1.0,0.8302085856982627,0.8387411569501744,0.8609005030057663,0.8554125835741108,0.8302085856982627,0.8574957476524148,0.7780206315173238,0.7754863899364547,0.965030301231225,0.9593708754207837,0.9024020115800915,0.3748913206306135,0.2033313044961641,0.06994282483106912,0.002941578342831689,0.004769430131323045,0.004511169858478915,0.008361198871745756,0.002941578342831689,0.003878143318034705,0.006670247701044579,0.006463315369424838,0.002475840096009469,0.0029679475311081803,0.003056491347685353,0.010199354701607193,0.003990542525888123,0.0028015048164151683,3
TCGA-BRCA,mofa,1e-05,0.3975793356928637,0.26420880812221625,0.2794913967611336,0.39796121371606247,0.3975793356928637,0.23804626212238486,0.14734113157618353,0.11369689501250681,0.5811267833091045,0.5560555594703036,0.3036848636961594,24.806924476168685,1.4299296725162065,0.7146923782962387,0.009225802160304452,0.004322280873112417,0.0020603216382279223,0.026493907895553,0.009225802160304452,0.0032132947633132097,0.01011473590545814,0.0060272215158037835,0.004400878173489644,0.002895044332542956,0.0015978446885620667,0.23914431762983362,0.0022507227593905775,0.0009510496426005702,3
TCGA-BRCA,mofa,0.0001,0.5758747734783752,0.5080920138365775,0.5094633071606756,0.5122294995426008,0.5758747734783752,0.5105158781889837,0.32842062628006047,0.3102088956995348,0.755275018971857,0.7260393900211636,0.5556042279685854,4.785120450322451,0.7227776696664483,0.2774337912919627,0.014874675060109135,0.026675896214282974,0.018064229112383905,0.023178601527048807,0.014874675060109135,0.02439435418487982,0.01506595416235922,0.014761795648433126,0.016957308289105962,0.014116785168393792,0.020882044035367125,2.4548139254842054,0.07649654254860155,0.05345348230434391,3
TCGA-BRCA,mofa,0.001,0.6385569845344982,0.598698046348085,0.6218684823947982,0.6064946314631108,0.6385569845344982,0.6192619309196766,0.4668972981409589,0.4576054579919238,0.8057672064524831,0.7933617802503838,0.6231411531285476,4.845746697130242,0.6156248226711284,0.23244307613733442,0.057052112256030865,0.06820238378155334,0.06483661941789859,0.058613924472424396,0.057052112256030865,0.07162160160223947,0.06810253802771317,0.06977189791756723,0.045850284494830064,0.04428809006009214,0.05705883390721534,3.5623456578236175,0.1461087865654874,0.08027929212740943,3
TCGA-BRCA,mofa,0.01,0.7461313061039817,0.7103665982349937,0.7335756348914243,0.6985834504194225,0.7461313061039817,0.7411217225360015,0.6119037581248102,0.6023282442611676,0.8936921975372086,0.891433722748263,0.7505655819855647,1.0160952644239893,0.396824919570198,0.12980689616309127,0.009975418154624988,0.011234662927370348,0.010862199801625626,0.01097961074961115,0.009975418154624988,0.01138037864788387,0.012711160746136678,0.013870937774065053,0.007670222912717084,0.0077181698649775145,0.007228706907303286,0.11736246628769464,0.011645569601512116,0.0022351743456641635,3
TCGA-BRCA,mofa,0.02,0.7465000758168752,0.7140733711413393,0.7563858473397946,0.7032067094256003,0.7465000758168752,0.7629286412033439,0.6395276998672469,0.6318989278426462,0.8975258703674504,0.902561581887959,0.7526086277507948,0.8743592276710089,0.37291195830842766,0.12102792282349902,0.013994552927820782,0.014569501408060924,0.0057147584531449525,0.013812519378631611,0.013994552927820782,0.006938943477380365,0.008771223194924392,0.008653399737367156,0.01042892917094172,0.006223229177464921,0.011643628399249544,0.06787585160129506,0.00755851368593728,0.0032334888403323958,3
TCGA-BRCA,mofa,0.05,0.7594050176374297,0.7294172716602721,0.7668446867460026,0.7217899313353251,0.7594050176374297,0.7743919027193166,0.6569956115222894,0.6483475672212247,0.9148482640803312,0.916233609681767,0.7722377388100954,0.7544482738710035,0.35709695306882067,0.11792271933852638,0.006352633428221283,0.00590352248027284,0.002652035533579976,0.004338377069007128,0.006352633428221283,0.0025144279868648135,0.0036104462950234113,0.0040235171911694985,0.006016446129533864,0.003480161020807964,0.011851101104585968,0.04066811248603964,0.006500185934950461,0.004985436248575248,3
