dataset,method,n_omics,best_combination,balanced_accuracy,macro_f1,accuracy,n_evaluation_units
TCGA-KIPAN,pnet,2,dnam+rppa,0.912 +/- 0.009,0.931 +/- 0.008,0.950 +/- 0.003,3
TCGA-KIPAN,pnet,3,dnam+rppa+cnv,0.909 +/- 0.005,0.927 +/- 0.006,0.945 +/- 0.003,3
TCGA-KIPAN,pnet,4,dnam+rppa+mirna+cnv,0.916 +/- 0.009,0.931 +/- 0.007,0.947 +/- 0.003,3
TCGA-KIPAN,pnet,5,mrna+dnam+rppa+mirna+cnv,0.911 +/- 0.008,0.928 +/- 0.005,0.944 +/- 0.002,3
TCGA-KIPAN,svm_early,1,rppa,0.888 +/- 0.001,0.894 +/- 0.001,0.897 +/- 0.002,3
TCGA-KIPAN,svm_early,2,mrna+rppa,0.921 +/- 0.002,0.917 +/- 0.002,0.952 +/- 0.001,3
TCGA-KIPAN,svm_early,3,mrna+dnam+rppa,0.919 +/- 0.006,0.933 +/- 0.005,0.959 +/- 0.003,3
TCGA-KIPAN,svm_early,4,mrna+dnam+rppa+cnv,0.921 +/- 0.009,0.935 +/- 0.009,0.958 +/- 0.007,3
TCGA-KIPAN,svm_early,5,mrna+dnam+rppa+mirna+cnv,0.914 +/- 0.002,0.928 +/- 0.003,0.957 +/- 0.003,3
TCGA-LGG,integrao,1,mrna,0.651 +/- 0.006,0.646 +/- 0.006,0.648 +/- 0.006,3
TCGA-LGG,integrao,2,mrna+mirna,0.680 +/- 0.005,0.676 +/- 0.005,0.679 +/- 0.005,3
TCGA-LGG,integrao,3,mrna+dnam+mirna,0.681 +/- 0.007,0.678 +/- 0.007,0.680 +/- 0.007,3
TCGA-LGG,integrao,4,mrna+dnam+rppa+mirna,0.675 +/- 0.003,0.672 +/- 0.004,0.673 +/- 0.003,3
TCGA-LGG,integrao,5,mrna+dnam+rppa+mirna+cnv,0.666 +/- 0.006,0.663 +/- 0.006,0.665 +/- 0.006,3
TCGA-LGG,logreg_early,1,mrna,0.676 +/- 0.011,0.676 +/- 0.010,0.677 +/- 0.010,3
TCGA-LGG,logreg_early,2,mrna+cnv,0.666 +/- 0.020,0.665 +/- 0.019,0.667 +/- 0.019,3
TCGA-LGG,logreg_early,3,mrna+mirna+cnv,0.660 +/- 0.021,0.659 +/- 0.021,0.660 +/- 0.021,3
TCGA-LGG,logreg_early,4,mrna+dnam+mirna+cnv,0.667 +/- 0.021,0.666 +/- 0.021,0.668 +/- 0.021,3
TCGA-LGG,logreg_early,5,mrna+dnam+rppa+mirna+cnv,0.660 +/- 0.021,0.659 +/- 0.021,0.662 +/- 0.019,3
TCGA-LGG,logreg_late,1,mrna,0.673 +/- 0.009,0.672 +/- 0.008,0.673 +/- 0.008,3
TCGA-LGG,logreg_late,2,mrna+rppa,0.679 +/- 0.011,0.677 +/- 0.011,0.678 +/- 0.012,3
TCGA-LGG,logreg_late,3,mrna+rppa+mirna,0.704 +/- 0.010,0.702 +/- 0.009,0.703 +/- 0.009,3
TCGA-LGG,logreg_late,4,mrna+dnam+rppa+mirna,0.705 +/- 0.008,0.703 +/- 0.008,0.705 +/- 0.008,3
TCGA-LGG,logreg_late,5,mrna+dnam+rppa+mirna+cnv,0.682 +/- 0.012,0.679 +/- 0.012,0.680 +/- 0.012,3
TCGA-LGG,mofa,1,mirna,0.618 +/- 0.016,0.617 +/- 0.017,0.618 +/- 0.016,3
TCGA-LGG,mofa,2,mrna+cnv,0.643 +/- 0.007,0.636 +/- 0.004,0.638 +/- 0.005,3
TCGA-LGG,mofa,3,mrna+mirna+cnv,0.684 +/- 0.013,0.677 +/- 0.015,0.680 +/- 0.013,3
TCGA-LGG,mofa,4,mrna+rppa+mirna+cnv,0.693 +/- 0.004,0.688 +/- 0.004,0.689 +/- 0.004,3
TCGA-LGG,mofa,5,mrna+dnam+rppa+mirna+cnv,0.686 +/- 0.003,0.680 +/- 0.003,0.681 +/- 0.003,3
TCGA-LGG,pca_logreg,1,mrna,0.670 +/- 0.011,0.664 +/- 0.010,0.666 +/- 0.010,3
TCGA-LGG,pca_logreg,2,mrna+dnam,0.686 +/- 0.006,0.684 +/- 0.006,0.685 +/- 0.006,3
TCGA-LGG,pca_logreg,3,mrna+mirna+cnv,0.672 +/- 0.010,0.670 +/- 0.010,0.671 +/- 0.010,3
TCGA-LGG,pca_logreg,4,mrna+dnam+rppa+mirna,0.662 +/- 0.016,0.660 +/- 0.016,0.661 +/- 0.016,3
TCGA-LGG,pca_logreg,5,mrna+dnam+rppa+mirna+cnv,0.660 +/- 0.012,0.657 +/- 0.012,0.659 +/- 0.011,3
TCGA-LGG,pnet,1,mrna,0.688 +/- 0.004,0.686 +/- 0.005,0.687 +/- 0.004,3
TCGA-LGG,pnet,2,mrna+dnam,0.703 +/- 0.016,0.701 +/- 0.017,0.702 +/- 0.017,3
TCGA-LGG,pnet,3,mrna+dnam+rppa,0.693 +/- 0.004,0.689 +/- 0.006,0.690 +/- 0.005,3
TCGA-LGG,pnet,4,mrna+dnam+rppa+cnv,0.697 +/- 0.005,0.693 +/- 0.004,0.694 +/- 0.005,3
TCGA-LGG,pnet,5,mrna+dnam+rppa+mirna+cnv,0.687 +/- 0.006,0.684 +/- 0.007,0.685 +/- 0.007,3
TCGA-LGG,svm_early,1,mrna,0.684 +/- 0.020,0.677 +/- 0.020,0.679 +/- 0.020,3
TCGA-LGG,svm_early,2,mrna+dnam,0.694 +/- 0.016,0.689 +/- 0.018,0.691 +/- 0.017,3
TCGA-LGG,svm_early,3,mrna+dnam+cnv,0.694 +/- 0.010,0.689 +/- 0.010,0.690 +/- 0.010,3
TCGA-LGG,svm_early,4,mrna+dnam+rppa+mirna,0.687 +/- 0.006,0.684 +/- 0.007,0.686 +/- 0.006,3
TCGA-LGG,svm_early,5,mrna+dnam+rppa+mirna+cnv,0.689 +/- 0.010,0.686 +/- 0.010,0.687 +/- 0.010,3
