dataset,model,n_omics,omic_combination,balanced_accuracy,macro_f1,accuracy,mcc,n_units
TCGA-KIPAN,pca_logreg,3,mrna+dnam+cnv,0.835 +/- 0.022,0.841 +/- 0.021,0.854 +/- 0.022,0.731 +/- 0.033,3
TCGA-KIPAN,pca_logreg,3,mrna+dnam+mirna,0.842 +/- 0.017,0.856 +/- 0.018,0.875 +/- 0.008,0.765 +/- 0.016,3
TCGA-KIPAN,pca_logreg,3,mrna+dnam+rppa,0.904 +/- 0.009,0.911 +/- 0.005,0.933 +/- 0.005,0.875 +/- 0.009,3
TCGA-KIPAN,pca_logreg,3,mrna+mirna+cnv,0.474 +/- 0.009,0.366 +/- 0.016,0.449 +/- 0.028,0.292 +/- 0.027,3
TCGA-KIPAN,pca_logreg,3,mrna+rppa+cnv,0.896 +/- 0.012,0.886 +/- 0.007,0.910 +/- 0.007,0.842 +/- 0.014,3
TCGA-KIPAN,pca_logreg,3,mrna+rppa+mirna,0.893 +/- 0.009,0.890 +/- 0.008,0.898 +/- 0.007,0.828 +/- 0.015,3
TCGA-KIPAN,pca_logreg,3,rppa+mirna+cnv,0.901 +/- 0.012,0.881 +/- 0.019,0.909 +/- 0.014,0.843 +/- 0.022,3
TCGA-KIPAN,pca_logreg,4,dnam+rppa+mirna+cnv,0.905 +/- 0.011,0.905 +/- 0.021,0.928 +/- 0.013,0.869 +/- 0.022,3
TCGA-KIPAN,pca_logreg,4,mrna+dnam+mirna+cnv,0.847 +/- 0.007,0.857 +/- 0.008,0.875 +/- 0.008,0.765 +/- 0.015,3
TCGA-KIPAN,pca_logreg,4,mrna+dnam+rppa+cnv,0.903 +/- 0.012,0.901 +/- 0.009,0.922 +/- 0.007,0.859 +/- 0.012,3
TCGA-KIPAN,pca_logreg,4,mrna+dnam+rppa+mirna,0.909 +/- 0.002,0.908 +/- 0.003,0.933 +/- 0.002,0.876 +/- 0.004,3
TCGA-KIPAN,pca_logreg,4,mrna+rppa+mirna+cnv,0.899 +/- 0.008,0.891 +/- 0.007,0.911 +/- 0.005,0.843 +/- 0.011,3
TCGA-KIPAN,pca_logreg,5,mrna+dnam+rppa+mirna+cnv,0.896 +/- 0.005,0.876 +/- 0.002,0.904 +/- 0.002,0.835 +/- 0.006,3
TCGA-KIPAN,pnet,1,cnv,0.417 +/- 0.023,0.390 +/- 0.024,0.640 +/- 0.005,0.262 +/- 0.029,3
TCGA-KIPAN,pnet,1,dnam,0.843 +/- 0.008,0.870 +/- 0.003,0.889 +/- 0.002,0.792 +/- 0.003,3
TCGA-KIPAN,pnet,1,mirna,0.334 +/- 0.001,0.250 +/- 0.001,0.595 +/- 0.001,0.006 +/- 0.013,3
TCGA-KIPAN,pnet,1,mrna,0.333 +/- 0.001,0.250 +/- 0.002,0.594 +/- 0.002,-0.004 +/- 0.019,3
TCGA-KIPAN,pnet,1,rppa,0.881 +/- 0.026,0.897 +/- 0.014,0.906 +/- 0.011,0.836 +/- 0.024,3
TCGA-KIPAN,pnet,2,dnam+cnv,0.843 +/- 0.011,0.871 +/- 0.008,0.886 +/- 0.004,0.786 +/- 0.009,3
TCGA-KIPAN,pnet,2,dnam+mirna,0.842 +/- 0.001,0.868 +/- 0.002,0.887 +/- 0.001,0.786 +/- 0.000,3
TCGA-KIPAN,pnet,2,dnam+rppa,0.912 +/- 0.009,0.931 +/- 0.008,0.950 +/- 0.003,0.907 +/- 0.005,3
TCGA-KIPAN,pnet,2,mirna+cnv,0.422 +/- 0.011,0.390 +/- 0.006,0.632 +/- 0.022,0.279 +/- 0.026,3
TCGA-KIPAN,pnet,2,mrna+cnv,0.425 +/- 0.011,0.397 +/- 0.015,0.648 +/- 0.006,0.285 +/- 0.017,3
TCGA-KIPAN,pnet,2,mrna+dnam,0.848 +/- 0.012,0.872 +/- 0.011,0.890 +/- 0.005,0.794 +/- 0.010,3
TCGA-KIPAN,pnet,2,mrna+mirna,0.333 +/- 0.001,0.249 +/- 0.002,0.595 +/- 0.001,-0.001 +/- 0.017,3
TCGA-KIPAN,pnet,2,mrna+rppa,0.895 +/- 0.016,0.903 +/- 0.010,0.911 +/- 0.010,0.846 +/- 0.021,3
TCGA-KIPAN,pnet,2,rppa+cnv,0.908 +/- 0.010,0.919 +/- 0.005,0.935 +/- 0.005,0.883 +/- 0.011,3
TCGA-KIPAN,pnet,2,rppa+mirna,0.887 +/- 0.004,0.899 +/- 0.005,0.907 +/- 0.002,0.838 +/- 0.003,3
TCGA-KIPAN,pnet,3,dnam+mirna+cnv,0.842 +/- 0.008,0.868 +/- 0.008,0.884 +/- 0.004,0.781 +/- 0.007,3
TCGA-KIPAN,pnet,3,dnam+rppa+cnv,0.909 +/- 0.005,0.927 +/- 0.006,0.945 +/- 0.003,0.897 +/- 0.005,3
TCGA-KIPAN,pnet,3,dnam+rppa+mirna,0.907 +/- 0.008,0.928 +/- 0.007,0.946 +/- 0.004,0.899 +/- 0.008,3
TCGA-KIPAN,pnet,3,mrna+dnam+cnv,0.838 +/- 0.004,0.870 +/- 0.008,0.887 +/- 0.005,0.788 +/- 0.010,3
TCGA-KIPAN,pnet,3,mrna+dnam+mirna,0.846 +/- 0.004,0.872 +/- 0.003,0.890 +/- 0.003,0.793 +/- 0.006,3
TCGA-KIPAN,pnet,3,mrna+dnam+rppa,0.904 +/- 0.002,0.924 +/- 0.003,0.945 +/- 0.003,0.896 +/- 0.006,3
TCGA-KIPAN,pnet,3,mrna+mirna+cnv,0.404 +/- 0.013,0.370 +/- 0.016,0.637 +/- 0.011,0.232 +/- 0.039,3
TCGA-KIPAN,pnet,3,mrna+rppa+cnv,0.905 +/- 0.004,0.920 +/- 0.004,0.936 +/- 0.006,0.884 +/- 0.011,3
TCGA-KIPAN,pnet,3,mrna+rppa+mirna,0.894 +/- 0.011,0.903 +/- 0.008,0.909 +/- 0.008,0.844 +/- 0.014,3
TCGA-KIPAN,pnet,3,rppa+mirna+cnv,0.906 +/- 0.007,0.922 +/- 0.003,0.935 +/- 0.001,0.881 +/- 0.004,3
TCGA-KIPAN,pnet,4,dnam+rppa+mirna+cnv,0.916 +/- 0.009,0.931 +/- 0.007,0.947 +/- 0.003,0.901 +/- 0.006,3
TCGA-KIPAN,pnet,4,mrna+dnam+mirna+cnv,0.840 +/- 0.016,0.865 +/- 0.015,0.887 +/- 0.014,0.786 +/- 0.028,3
TCGA-KIPAN,pnet,4,mrna+dnam+rppa+cnv,0.911 +/- 0.005,0.927 +/- 0.005,0.943 +/- 0.002,0.893 +/- 0.004,3
TCGA-KIPAN,pnet,4,mrna+dnam+rppa+mirna,0.912 +/- 0.003,0.929 +/- 0.006,0.948 +/- 0.004,0.902 +/- 0.007,3
TCGA-KIPAN,pnet,4,mrna+rppa+mirna+cnv,0.901 +/- 0.008,0.917 +/- 0.005,0.931 +/- 0.006,0.875 +/- 0.010,3
TCGA-KIPAN,pnet,5,mrna+dnam+rppa+mirna+cnv,0.911 +/- 0.008,0.928 +/- 0.005,0.944 +/- 0.002,0.895 +/- 0.005,3
TCGA-KIPAN,svm_early,1,cnv,0.500 +/- 0.004,0.363 +/- 0.003,0.398 +/- 0.003,0.284 +/- 0.004,3
TCGA-KIPAN,svm_early,1,dnam,0.842 +/- 0.007,0.853 +/- 0.008,0.872 +/- 0.005,0.760 +/- 0.009,3
TCGA-KIPAN,svm_early,1,mirna,0.856 +/- 0.007,0.789 +/- 0.006,0.861 +/- 0.005,0.766 +/- 0.007,3
TCGA-KIPAN,svm_early,1,mrna,0.887 +/- 0.010,0.805 +/- 0.007,0.868 +/- 0.008,0.786 +/- 0.010,3
TCGA-KIPAN,svm_early,1,rppa,0.888 +/- 0.001,0.894 +/- 0.001,0.897 +/- 0.002,0.822 +/- 0.004,3
TCGA-KIPAN,svm_early,2,dnam+cnv,0.780 +/- 0.012,0.749 +/- 0.009,0.715 +/- 0.008,0.563 +/- 0.012,3
TCGA-KIPAN,svm_early,2,dnam+mirna,0.892 +/- 0.009,0.899 +/- 0.004,0.928 +/- 0.003,0.865 +/- 0.006,3
TCGA-KIPAN,svm_early,2,dnam+rppa,0.901 +/- 0.009,0.906 +/- 0.009,0.916 +/- 0.004,0.849 +/- 0.008,3
TCGA-KIPAN,svm_early,2,mirna+cnv,0.856 +/- 0.016,0.808 +/- 0.013,0.877 +/- 0.009,0.784 +/- 0.016,3
TCGA-KIPAN,svm_early,2,mrna+cnv,0.871 +/- 0.009,0.812 +/- 0.007,0.877 +/- 0.003,0.788 +/- 0.006,3
TCGA-KIPAN,svm_early,2,mrna+dnam,0.899 +/- 0.008,0.906 +/- 0.010,0.929 +/- 0.005,0.868 +/- 0.008,3
TCGA-KIPAN,svm_early,2,mrna+mirna,0.898 +/- 0.019,0.849 +/- 0.011,0.905 +/- 0.007,0.832 +/- 0.014,3
TCGA-KIPAN,svm_early,2,mrna+rppa,0.921 +/- 0.002,0.917 +/- 0.002,0.952 +/- 0.001,0.912 +/- 0.001,3
TCGA-KIPAN,svm_early,2,rppa+cnv,0.890 +/- 0.002,0.883 +/- 0.004,0.906 +/- 0.003,0.836 +/- 0.004,3
TCGA-KIPAN,svm_early,2,rppa+mirna,0.904 +/- 0.006,0.919 +/- 0.001,0.955 +/- 0.001,0.915 +/- 0.002,3
TCGA-KIPAN,svm_early,3,dnam+mirna+cnv,0.893 +/- 0.010,0.902 +/- 0.008,0.922 +/- 0.003,0.853 +/- 0.006,3
TCGA-KIPAN,svm_early,3,dnam+rppa+cnv,0.899 +/- 0.006,0.904 +/- 0.003,0.918 +/- 0.006,0.853 +/- 0.011,3
TCGA-KIPAN,svm_early,3,dnam+rppa+mirna,0.912 +/- 0.004,0.933 +/- 0.005,0.960 +/- 0.004,0.924 +/- 0.008,3
TCGA-KIPAN,svm_early,3,mrna+dnam+cnv,0.896 +/- 0.003,0.905 +/- 0.003,0.925 +/- 0.001,0.860 +/- 0.003,3
TCGA-KIPAN,svm_early,3,mrna+dnam+mirna,0.902 +/- 0.006,0.911 +/- 0.005,0.937 +/- 0.003,0.882 +/- 0.005,3
TCGA-KIPAN,svm_early,3,mrna+dnam+rppa,0.919 +/- 0.006,0.933 +/- 0.005,0.959 +/- 0.003,0.923 +/- 0.006,3
TCGA-KIPAN,svm_early,3,mrna+mirna+cnv,0.897 +/- 0.014,0.851 +/- 0.013,0.905 +/- 0.007,0.834 +/- 0.011,3
TCGA-KIPAN,svm_early,3,mrna+rppa+cnv,0.903 +/- 0.004,0.905 +/- 0.004,0.945 +/- 0.001,0.898 +/- 0.001,3
TCGA-KIPAN,svm_early,3,mrna+rppa+mirna,0.919 +/- 0.015,0.922 +/- 0.015,0.953 +/- 0.005,0.912 +/- 0.009,3
TCGA-KIPAN,svm_early,3,rppa+mirna+cnv,0.885 +/- 0.002,0.905 +/- 0.002,0.949 +/- 0.002,0.903 +/- 0.004,3
TCGA-KIPAN,svm_early,4,dnam+rppa+mirna+cnv,0.909 +/- 0.007,0.927 +/- 0.006,0.954 +/- 0.003,0.914 +/- 0.005,3
TCGA-KIPAN,svm_early,4,mrna+dnam+mirna+cnv,0.903 +/- 0.004,0.909 +/- 0.007,0.934 +/- 0.002,0.876 +/- 0.004,3
TCGA-KIPAN,svm_early,4,mrna+dnam+rppa+cnv,0.921 +/- 0.009,0.935 +/- 0.009,0.958 +/- 0.007,0.922 +/- 0.014,3
TCGA-KIPAN,svm_early,4,mrna+dnam+rppa+mirna,0.918 +/- 0.010,0.931 +/- 0.011,0.956 +/- 0.005,0.917 +/- 0.009,3
TCGA-KIPAN,svm_early,4,mrna+rppa+mirna+cnv,0.893 +/- 0.003,0.895 +/- 0.005,0.942 +/- 0.003,0.893 +/- 0.004,3
TCGA-KIPAN,svm_early,5,mrna+dnam+rppa+mirna+cnv,0.914 +/- 0.002,0.928 +/- 0.003,0.957 +/- 0.003,0.919 +/- 0.006,3
TCGA-LGG,integrao,1,cnv,0.575 +/- 0.004,0.531 +/- 0.009,0.565 +/- 0.006,0.153 +/- 0.011,3
TCGA-LGG,integrao,1,dnam,0.640 +/- 0.010,0.638 +/- 0.011,0.639 +/- 0.010,0.280 +/- 0.021,3
TCGA-LGG,integrao,1,mirna,0.622 +/- 0.014,0.619 +/- 0.014,0.622 +/- 0.014,0.247 +/- 0.029,3
TCGA-LGG,integrao,1,mrna,0.651 +/- 0.006,0.646 +/- 0.006,0.648 +/- 0.006,0.305 +/- 0.012,3
TCGA-LGG,integrao,1,rppa,0.608 +/- 0.010,0.602 +/- 0.010,0.606 +/- 0.009,0.220 +/- 0.020,3
TCGA-LGG,integrao,2,dnam+cnv,0.636 +/- 0.011,0.633 +/- 0.010,0.634 +/- 0.011,0.273 +/- 0.022,3
TCGA-LGG,integrao,2,dnam+mirna,0.659 +/- 0.006,0.657 +/- 0.006,0.658 +/- 0.006,0.320 +/- 0.013,3
TCGA-LGG,integrao,2,dnam+rppa,0.660 +/- 0.004,0.658 +/- 0.003,0.659 +/- 0.003,0.322 +/- 0.010,3
TCGA-LGG,integrao,2,mirna+cnv,0.628 +/- 0.010,0.624 +/- 0.010,0.626 +/- 0.011,0.258 +/- 0.021,3
TCGA-LGG,integrao,2,mrna+cnv,0.644 +/- 0.006,0.642 +/- 0.007,0.643 +/- 0.006,0.290 +/- 0.013,3
TCGA-LGG,integrao,2,mrna+dnam,0.676 +/- 0.015,0.674 +/- 0.015,0.675 +/- 0.015,0.353 +/- 0.029,3
TCGA-LGG,integrao,2,mrna+mirna,0.680 +/- 0.005,0.676 +/- 0.005,0.679 +/- 0.005,0.363 +/- 0.011,3
TCGA-LGG,integrao,2,mrna+rppa,0.673 +/- 0.014,0.670 +/- 0.014,0.671 +/- 0.014,0.348 +/- 0.027,3
TCGA-LGG,integrao,2,rppa+cnv,0.633 +/- 0.008,0.629 +/- 0.008,0.630 +/- 0.008,0.269 +/- 0.017,3
TCGA-LGG,integrao,2,rppa+mirna,0.636 +/- 0.007,0.632 +/- 0.007,0.634 +/- 0.008,0.275 +/- 0.014,3
TCGA-LGG,integrao,3,dnam+mirna+cnv,0.646 +/- 0.010,0.642 +/- 0.009,0.644 +/- 0.010,0.293 +/- 0.021,3
TCGA-LGG,integrao,3,dnam+rppa+cnv,0.653 +/- 0.005,0.650 +/- 0.005,0.651 +/- 0.005,0.307 +/- 0.010,3
TCGA-LGG,integrao,3,dnam+rppa+mirna,0.656 +/- 0.009,0.653 +/- 0.009,0.655 +/- 0.009,0.313 +/- 0.017,3
TCGA-LGG,integrao,3,mrna+dnam+cnv,0.663 +/- 0.011,0.661 +/- 0.012,0.662 +/- 0.012,0.328 +/- 0.022,3
TCGA-LGG,integrao,3,mrna+dnam+mirna,0.681 +/- 0.007,0.678 +/- 0.007,0.680 +/- 0.007,0.364 +/- 0.013,3
TCGA-LGG,integrao,3,mrna+dnam+rppa,0.671 +/- 0.009,0.669 +/- 0.009,0.670 +/- 0.009,0.344 +/- 0.019,3
TCGA-LGG,integrao,3,mrna+mirna+cnv,0.663 +/- 0.012,0.661 +/- 0.012,0.662 +/- 0.012,0.329 +/- 0.023,3
TCGA-LGG,integrao,3,mrna+rppa+cnv,0.655 +/- 0.002,0.652 +/- 0.001,0.653 +/- 0.001,0.312 +/- 0.004,3
TCGA-LGG,integrao,3,mrna+rppa+mirna,0.671 +/- 0.001,0.668 +/- 0.002,0.670 +/- 0.001,0.345 +/- 0.001,3
TCGA-LGG,integrao,3,rppa+mirna+cnv,0.637 +/- 0.005,0.633 +/- 0.006,0.635 +/- 0.005,0.276 +/- 0.009,3
TCGA-LGG,integrao,4,dnam+rppa+mirna+cnv,0.648 +/- 0.004,0.645 +/- 0.004,0.647 +/- 0.004,0.298 +/- 0.008,3
TCGA-LGG,integrao,4,mrna+dnam+mirna+cnv,0.668 +/- 0.004,0.665 +/- 0.003,0.667 +/- 0.003,0.337 +/- 0.008,3
TCGA-LGG,integrao,4,mrna+dnam+rppa+cnv,0.673 +/- 0.005,0.671 +/- 0.005,0.672 +/- 0.005,0.348 +/- 0.011,3
TCGA-LGG,integrao,4,mrna+dnam+rppa+mirna,0.675 +/- 0.003,0.672 +/- 0.004,0.673 +/- 0.003,0.351 +/- 0.005,3
TCGA-LGG,integrao,4,mrna+rppa+mirna+cnv,0.659 +/- 0.006,0.656 +/- 0.005,0.658 +/- 0.005,0.319 +/- 0.012,3
TCGA-LGG,integrao,5,mrna+dnam+rppa+mirna+cnv,0.666 +/- 0.006,0.663 +/- 0.006,0.665 +/- 0.006,0.334 +/- 0.012,3
TCGA-LGG,logreg_early,1,cnv,0.610 +/- 0.006,0.592 +/- 0.002,0.601 +/- 0.005,0.237 +/- 0.018,3
TCGA-LGG,logreg_early,1,dnam,0.628 +/- 0.015,0.626 +/- 0.016,0.627 +/- 0.015,0.258 +/- 0.028,3
TCGA-LGG,logreg_early,1,mirna,0.617 +/- 0.011,0.613 +/- 0.011,0.614 +/- 0.010,0.236 +/- 0.022,3
TCGA-LGG,logreg_early,1,mrna,0.676 +/- 0.011,0.676 +/- 0.010,0.677 +/- 0.010,0.354 +/- 0.021,3
TCGA-LGG,logreg_early,1,rppa,0.623 +/- 0.004,0.622 +/- 0.004,0.627 +/- 0.005,0.249 +/- 0.008,3
TCGA-LGG,logreg_early,2,dnam+cnv,0.652 +/- 0.015,0.650 +/- 0.015,0.651 +/- 0.016,0.304 +/- 0.030,3
TCGA-LGG,logreg_early,2,dnam+mirna,0.621 +/- 0.005,0.621 +/- 0.005,0.622 +/- 0.006,0.243 +/- 0.010,3
TCGA-LGG,logreg_early,2,dnam+rppa,0.632 +/- 0.016,0.631 +/- 0.016,0.632 +/- 0.016,0.265 +/- 0.032,3
TCGA-LGG,logreg_early,2,mirna+cnv,0.644 +/- 0.037,0.641 +/- 0.035,0.643 +/- 0.036,0.290 +/- 0.075,3
TCGA-LGG,logreg_early,2,mrna+cnv,0.666 +/- 0.020,0.665 +/- 0.019,0.667 +/- 0.019,0.333 +/- 0.039,3
TCGA-LGG,logreg_early,2,mrna+dnam,0.642 +/- 0.012,0.641 +/- 0.012,0.643 +/- 0.012,0.285 +/- 0.024,3
TCGA-LGG,logreg_early,2,mrna+mirna,0.655 +/- 0.011,0.653 +/- 0.012,0.654 +/- 0.011,0.310 +/- 0.021,3
TCGA-LGG,logreg_early,2,mrna+rppa,0.633 +/- 0.007,0.632 +/- 0.006,0.634 +/- 0.006,0.268 +/- 0.014,3
TCGA-LGG,logreg_early,2,rppa+cnv,0.638 +/- 0.017,0.637 +/- 0.017,0.638 +/- 0.017,0.276 +/- 0.033,3
TCGA-LGG,logreg_early,2,rppa+mirna,0.584 +/- 0.008,0.583 +/- 0.009,0.586 +/- 0.007,0.169 +/- 0.015,3
TCGA-LGG,logreg_early,3,dnam+mirna+cnv,0.635 +/- 0.008,0.635 +/- 0.007,0.636 +/- 0.008,0.272 +/- 0.016,3
TCGA-LGG,logreg_early,3,dnam+rppa+cnv,0.651 +/- 0.016,0.649 +/- 0.016,0.650 +/- 0.016,0.303 +/- 0.033,3
TCGA-LGG,logreg_early,3,dnam+rppa+mirna,0.619 +/- 0.023,0.618 +/- 0.023,0.619 +/- 0.022,0.238 +/- 0.045,3
TCGA-LGG,logreg_early,3,mrna+dnam+cnv,0.651 +/- 0.006,0.649 +/- 0.007,0.651 +/- 0.007,0.302 +/- 0.013,3
TCGA-LGG,logreg_early,3,mrna+dnam+mirna,0.644 +/- 0.023,0.643 +/- 0.023,0.645 +/- 0.023,0.289 +/- 0.047,3
TCGA-LGG,logreg_early,3,mrna+dnam+rppa,0.633 +/- 0.002,0.632 +/- 0.002,0.633 +/- 0.003,0.266 +/- 0.004,3
TCGA-LGG,logreg_early,3,mrna+mirna+cnv,0.660 +/- 0.021,0.659 +/- 0.021,0.660 +/- 0.021,0.320 +/- 0.043,3
TCGA-LGG,logreg_early,3,mrna+rppa+cnv,0.640 +/- 0.017,0.639 +/- 0.018,0.640 +/- 0.018,0.280 +/- 0.035,3
TCGA-LGG,logreg_early,3,mrna+rppa+mirna,0.656 +/- 0.036,0.655 +/- 0.037,0.658 +/- 0.036,0.315 +/- 0.073,3
TCGA-LGG,logreg_early,3,rppa+mirna+cnv,0.608 +/- 0.017,0.607 +/- 0.017,0.608 +/- 0.017,0.216 +/- 0.034,3
TCGA-LGG,logreg_early,4,dnam+rppa+mirna+cnv,0.642 +/- 0.020,0.641 +/- 0.020,0.643 +/- 0.020,0.285 +/- 0.039,3
TCGA-LGG,logreg_early,4,mrna+dnam+mirna+cnv,0.667 +/- 0.021,0.666 +/- 0.021,0.668 +/- 0.021,0.336 +/- 0.042,3
TCGA-LGG,logreg_early,4,mrna+dnam+rppa+cnv,0.632 +/- 0.017,0.631 +/- 0.017,0.632 +/- 0.017,0.265 +/- 0.034,3
TCGA-LGG,logreg_early,4,mrna+dnam+rppa+mirna,0.656 +/- 0.028,0.654 +/- 0.031,0.657 +/- 0.027,0.314 +/- 0.055,3
TCGA-LGG,logreg_early,4,mrna+rppa+mirna+cnv,0.634 +/- 0.032,0.632 +/- 0.031,0.635 +/- 0.030,0.270 +/- 0.064,3
TCGA-LGG,logreg_early,5,mrna+dnam+rppa+mirna+cnv,0.660 +/- 0.021,0.659 +/- 0.021,0.662 +/- 0.019,0.323 +/- 0.040,3
TCGA-LGG,logreg_late,1,cnv,0.612 +/- 0.010,0.596 +/- 0.007,0.603 +/- 0.009,0.238 +/- 0.025,3
TCGA-LGG,logreg_late,1,dnam,0.628 +/- 0.015,0.626 +/- 0.016,0.627 +/- 0.015,0.258 +/- 0.028,3
TCGA-LGG,logreg_late,1,mirna,0.586 +/- 0.005,0.585 +/- 0.006,0.589 +/- 0.006,0.173 +/- 0.011,3
TCGA-LGG,logreg_late,1,mrna,0.673 +/- 0.009,0.672 +/- 0.008,0.673 +/- 0.008,0.347 +/- 0.017,3
TCGA-LGG,logreg_late,1,rppa,0.617 +/- 0.006,0.616 +/- 0.006,0.620 +/- 0.006,0.236 +/- 0.012,3
TCGA-LGG,logreg_late,2,dnam+cnv,0.650 +/- 0.009,0.647 +/- 0.009,0.648 +/- 0.009,0.301 +/- 0.016,3
TCGA-LGG,logreg_late,2,dnam+mirna,0.651 +/- 0.018,0.648 +/- 0.019,0.650 +/- 0.018,0.304 +/- 0.034,3
TCGA-LGG,logreg_late,2,dnam+rppa,0.653 +/- 0.015,0.652 +/- 0.014,0.654 +/- 0.015,0.309 +/- 0.031,3
TCGA-LGG,logreg_late,2,mirna+cnv,0.651 +/- 0.013,0.647 +/- 0.012,0.648 +/- 0.012,0.304 +/- 0.026,3
TCGA-LGG,logreg_late,2,mrna+cnv,0.676 +/- 0.007,0.674 +/- 0.007,0.675 +/- 0.007,0.354 +/- 0.013,3
TCGA-LGG,logreg_late,2,mrna+dnam,0.673 +/- 0.016,0.671 +/- 0.017,0.672 +/- 0.017,0.348 +/- 0.031,3
TCGA-LGG,logreg_late,2,mrna+mirna,0.678 +/- 0.012,0.676 +/- 0.012,0.677 +/- 0.012,0.357 +/- 0.025,3
TCGA-LGG,logreg_late,2,mrna+rppa,0.679 +/- 0.011,0.677 +/- 0.011,0.678 +/- 0.012,0.359 +/- 0.022,3
TCGA-LGG,logreg_late,2,rppa+cnv,0.651 +/- 0.008,0.647 +/- 0.008,0.648 +/- 0.008,0.302 +/- 0.017,3
TCGA-LGG,logreg_late,2,rppa+mirna,0.631 +/- 0.019,0.629 +/- 0.019,0.631 +/- 0.018,0.262 +/- 0.037,3
TCGA-LGG,logreg_late,3,dnam+mirna+cnv,0.678 +/- 0.003,0.674 +/- 0.004,0.675 +/- 0.003,0.360 +/- 0.006,3
TCGA-LGG,logreg_late,3,dnam+rppa+cnv,0.689 +/- 0.011,0.685 +/- 0.012,0.686 +/- 0.011,0.381 +/- 0.020,3
TCGA-LGG,logreg_late,3,dnam+rppa+mirna,0.659 +/- 0.018,0.657 +/- 0.018,0.658 +/- 0.018,0.318 +/- 0.036,3
TCGA-LGG,logreg_late,3,mrna+dnam+cnv,0.694 +/- 0.010,0.691 +/- 0.010,0.691 +/- 0.010,0.389 +/- 0.019,3
TCGA-LGG,logreg_late,3,mrna+dnam+mirna,0.693 +/- 0.004,0.691 +/- 0.004,0.692 +/- 0.004,0.387 +/- 0.008,3
TCGA-LGG,logreg_late,3,mrna+dnam+rppa,0.677 +/- 0.011,0.674 +/- 0.011,0.675 +/- 0.011,0.356 +/- 0.023,3
TCGA-LGG,logreg_late,3,mrna+mirna+cnv,0.679 +/- 0.015,0.676 +/- 0.015,0.677 +/- 0.015,0.362 +/- 0.029,3
TCGA-LGG,logreg_late,3,mrna+rppa+cnv,0.677 +/- 0.025,0.675 +/- 0.025,0.675 +/- 0.025,0.356 +/- 0.049,3
TCGA-LGG,logreg_late,3,mrna+rppa+mirna,0.704 +/- 0.010,0.702 +/- 0.009,0.703 +/- 0.009,0.410 +/- 0.020,3
TCGA-LGG,logreg_late,3,rppa+mirna+cnv,0.654 +/- 0.011,0.650 +/- 0.010,0.651 +/- 0.010,0.309 +/- 0.022,3
TCGA-LGG,logreg_late,4,dnam+rppa+mirna+cnv,0.672 +/- 0.018,0.668 +/- 0.017,0.670 +/- 0.017,0.348 +/- 0.039,3
TCGA-LGG,logreg_late,4,mrna+dnam+mirna+cnv,0.689 +/- 0.010,0.687 +/- 0.010,0.687 +/- 0.010,0.379 +/- 0.021,3
TCGA-LGG,logreg_late,4,mrna+dnam+rppa+cnv,0.691 +/- 0.018,0.687 +/- 0.019,0.688 +/- 0.019,0.384 +/- 0.035,3
TCGA-LGG,logreg_late,4,mrna+dnam+rppa+mirna,0.705 +/- 0.008,0.703 +/- 0.008,0.705 +/- 0.008,0.412 +/- 0.016,3
TCGA-LGG,logreg_late,4,mrna+rppa+mirna+cnv,0.683 +/- 0.015,0.679 +/- 0.016,0.681 +/- 0.016,0.369 +/- 0.031,3
TCGA-LGG,logreg_late,5,mrna+dnam+rppa+mirna+cnv,0.682 +/- 0.012,0.679 +/- 0.012,0.680 +/- 0.012,0.367 +/- 0.023,3
TCGA-LGG,mofa,1,cnv,0.612 +/- 0.010,0.587 +/- 0.003,0.601 +/- 0.008,0.247 +/- 0.031,3
TCGA-LGG,mofa,1,dnam,0.597 +/- 0.027,0.588 +/- 0.023,0.593 +/- 0.025,0.204 +/- 0.058,3
TCGA-LGG,mofa,1,mirna,0.618 +/- 0.016,0.617 +/- 0.017,0.618 +/- 0.016,0.238 +/- 0.032,3
TCGA-LGG,mofa,1,mrna,0.580 +/- 0.008,0.578 +/- 0.008,0.580 +/- 0.010,0.162 +/- 0.018,3
TCGA-LGG,mofa,1,rppa,0.529 +/- 0.010,0.525 +/- 0.012,0.533 +/- 0.010,0.058 +/- 0.021,3
TCGA-LGG,mofa,2,dnam+cnv,0.634 +/- 0.014,0.621 +/- 0.013,0.627 +/- 0.011,0.281 +/- 0.029,3
TCGA-LGG,mofa,2,dnam+mirna,0.626 +/- 0.042,0.621 +/- 0.042,0.623 +/- 0.041,0.256 +/- 0.083,3
TCGA-LGG,mofa,2,dnam+rppa,0.623 +/- 0.020,0.617 +/- 0.020,0.619 +/- 0.020,0.251 +/- 0.038,3
TCGA-LGG,mofa,2,mirna+cnv,0.634 +/- 0.012,0.627 +/- 0.012,0.629 +/- 0.012,0.272 +/- 0.024,3
TCGA-LGG,mofa,2,mrna+cnv,0.643 +/- 0.007,0.636 +/- 0.004,0.638 +/- 0.005,0.293 +/- 0.018,3
TCGA-LGG,mofa,2,mrna+dnam,0.589 +/- 0.019,0.585 +/- 0.020,0.586 +/- 0.020,0.179 +/- 0.039,3
TCGA-LGG,mofa,2,mrna+mirna,0.614 +/- 0.017,0.610 +/- 0.018,0.612 +/- 0.016,0.232 +/- 0.034,3
