dataset,model,n_omics,omic_combination,balanced_accuracy,macro_f1,accuracy,mcc,n_units
TCGA-BRCA,logreg_early,3,mrna+dnam+mirna,0.819 +/- 0.014,0.809 +/- 0.009,0.828 +/- 0.009,0.733 +/- 0.015,3
TCGA-BRCA,logreg_early,3,mrna+dnam+rppa,0.840 +/- 0.007,0.838 +/- 0.004,0.850 +/- 0.002,0.765 +/- 0.002,3
TCGA-BRCA,logreg_early,3,mrna+mirna+cnv,0.837 +/- 0.005,0.834 +/- 0.006,0.849 +/- 0.004,0.764 +/- 0.006,3
TCGA-BRCA,logreg_early,3,mrna+rppa+cnv,0.845 +/- 0.000,0.840 +/- 0.004,0.849 +/- 0.004,0.765 +/- 0.005,3
TCGA-BRCA,logreg_early,3,mrna+rppa+mirna,0.837 +/- 0.006,0.835 +/- 0.005,0.854 +/- 0.003,0.769 +/- 0.005,3
TCGA-BRCA,logreg_early,3,rppa+mirna+cnv,0.807 +/- 0.008,0.803 +/- 0.011,0.826 +/- 0.009,0.728 +/- 0.012,3
TCGA-BRCA,logreg_early,4,dnam+rppa+mirna+cnv,0.807 +/- 0.009,0.807 +/- 0.007,0.828 +/- 0.003,0.730 +/- 0.005,3
TCGA-BRCA,logreg_early,4,mrna+dnam+mirna+cnv,0.822 +/- 0.005,0.817 +/- 0.002,0.839 +/- 0.004,0.747 +/- 0.005,3
TCGA-BRCA,logreg_early,4,mrna+dnam+rppa+cnv,0.853 +/- 0.002,0.856 +/- 0.004,0.862 +/- 0.005,0.783 +/- 0.007,3
TCGA-BRCA,logreg_early,4,mrna+dnam+rppa+mirna,0.846 +/- 0.018,0.845 +/- 0.013,0.861 +/- 0.012,0.781 +/- 0.020,3
TCGA-BRCA,logreg_early,4,mrna+rppa+mirna+cnv,0.842 +/- 0.014,0.839 +/- 0.015,0.857 +/- 0.010,0.776 +/- 0.015,3
TCGA-BRCA,logreg_early,5,mrna+dnam+rppa+mirna+cnv,0.835 +/- 0.008,0.836 +/- 0.005,0.855 +/- 0.003,0.772 +/- 0.005,3
