dataset,model,include_non_intersection_frac,balanced_accuracy,macro_f1,accuracy,mcc,macro_roc_auc_ovr,n_units
TCGA-KIPAN,pca_logreg,0.0,0.943 +/- 0.011,0.941 +/- 0.016,0.948 +/- 0.009,0.914 +/- 0.013,0.965 +/- 0.014,3
TCGA-KIPAN,pca_logreg,0.25,0.934 +/- 0.027,0.929 +/- 0.026,0.939 +/- 0.013,0.894 +/- 0.023,0.976 +/- 0.012,3
TCGA-KIPAN,pca_logreg,0.5,0.904 +/- 0.012,0.901 +/- 0.019,0.920 +/- 0.010,0.857 +/- 0.018,0.969 +/- 0.009,3
TCGA-KIPAN,pca_logreg,0.75,0.906 +/- 0.012,0.903 +/- 0.012,0.923 +/- 0.007,0.859 +/- 0.011,0.979 +/- 0.002,3
TCGA-KIPAN,pca_logreg,1.0,0.889 +/- 0.003,0.886 +/- 0.004,0.911 +/- 0.002,0.837 +/- 0.004,0.975 +/- 0.004,3
TCGA-KIPAN,pnet,0.0,0.956 +/- 0.006,0.961 +/- 0.007,0.973 +/- 0.002,0.955 +/- 0.003,0.996 +/- 0.001,3
TCGA-KIPAN,pnet,0.25,0.957 +/- 0.018,0.957 +/- 0.012,0.963 +/- 0.009,0.936 +/- 0.015,0.995 +/- 0.001,3
TCGA-KIPAN,pnet,0.75,0.924 +/- 0.012,0.938 +/- 0.008,0.951 +/- 0.004,0.910 +/- 0.006,0.992 +/- 0.003,3
TCGA-KIPAN,pnet,1.0,0.908 +/- 0.007,0.925 +/- 0.004,0.943 +/- 0.004,0.893 +/- 0.007,0.988 +/- 0.007,3
TCGA-KIPAN,svm_early,0.0,0.892 +/- 0.002,0.861 +/- 0.004,0.883 +/- 0.003,0.836 +/- 0.004,0.986 +/- 0.001,3
TCGA-KIPAN,svm_early,0.25,0.880 +/- 0.022,0.853 +/- 0.020,0.895 +/- 0.012,0.821 +/- 0.018,0.982 +/- 0.010,3
TCGA-KIPAN,svm_early,0.5,0.871 +/- 0.006,0.847 +/- 0.012,0.894 +/- 0.022,0.825 +/- 0.010,0.974 +/- 0.003,3
TCGA-KIPAN,svm_early,0.75,0.911 +/- 0.003,0.902 +/- 0.006,0.933 +/- 0.004,0.879 +/- 0.007,0.976 +/- 0.002,3
TCGA-KIPAN,svm_early,1.0,0.925 +/- 0.001,0.911 +/- 0.001,0.944 +/- 0.001,0.899 +/- 0.002,0.974 +/- 0.000,3
TCGA-LGG,logreg_early,0.0,0.634 +/- 0.013,0.632 +/- 0.014,0.635 +/- 0.013,0.271 +/- 0.026,0.690 +/- 0.011,3
TCGA-LGG,logreg_early,0.25,0.655 +/- 0.027,0.652 +/- 0.028,0.655 +/- 0.027,0.313 +/- 0.054,0.712 +/- 0.030,3
TCGA-LGG,logreg_early,0.5,0.659 +/- 0.013,0.657 +/- 0.012,0.659 +/- 0.013,0.321 +/- 0.027,0.721 +/- 0.015,3
TCGA-LGG,logreg_early,0.75,0.665 +/- 0.005,0.663 +/- 0.006,0.665 +/- 0.005,0.333 +/- 0.008,0.723 +/- 0.009,3
TCGA-LGG,logreg_early,1.0,0.661 +/- 0.014,0.659 +/- 0.013,0.661 +/- 0.013,0.324 +/- 0.027,0.721 +/- 0.020,3
TCGA-LGG,logreg_late,0.0,0.665 +/- 0.016,0.661 +/- 0.016,0.663 +/- 0.016,0.336 +/- 0.032,0.722 +/- 0.016,3
TCGA-LGG,logreg_late,0.25,0.669 +/- 0.021,0.664 +/- 0.022,0.668 +/- 0.020,0.346 +/- 0.038,0.737 +/- 0.019,3
TCGA-LGG,logreg_late,0.5,0.678 +/- 0.008,0.674 +/- 0.008,0.676 +/- 0.008,0.362 +/- 0.017,0.744 +/- 0.003,3
TCGA-LGG,logreg_late,0.75,0.685 +/- 0.008,0.681 +/- 0.008,0.682 +/- 0.008,0.376 +/- 0.018,0.750 +/- 0.010,3
