dataset,model,n_patients,balanced_accuracy_mean,macro_f1_mean,accuracy_mean,macro_precision_mean,macro_recall_mean,weighted_f1_mean,mcc_mean,cohen_kappa_mean,macro_roc_auc_ovr_mean,weighted_roc_auc_ovr_mean,macro_pr_auc_ovr_mean,log_loss_mean,brier_score_mean,ece_mean,balanced_accuracy_sd,macro_f1_sd,accuracy_sd,macro_precision_sd,macro_recall_sd,weighted_f1_sd,mcc_sd,cohen_kappa_sd,macro_roc_auc_ovr_sd,weighted_roc_auc_ovr_sd,macro_pr_auc_ovr_sd,log_loss_sd,brier_score_sd,ece_sd,n_units
TCGA-BRCA,mofa,300,0.7758459595959596,0.7394537703246234,0.7555555555555555,0.7293456031148947,0.7758459595959596,0.763132055319847,0.6429076481028434,0.632016103288242,0.899232280560232,0.8884107089412646,0.7868106229037147,1.2938077403621513,0.3674367472855253,0.1440878064966243,0.04275299742962991,0.0320593800012691,0.024113927126900837,0.029388833785903356,0.04275299742962991,0.023618190044187824,0.043940720418782206,0.03922936884626321,0.032583240317124035,0.032411733551036485,0.0480208291710592,0.5062000396582448,0.04533250669449051,0.012914500691005635,3
TCGA-BRCA,mofa,400,0.7740935727708984,0.7387013676509794,0.7508333333333334,0.7358590045535696,0.7740935727708984,0.7598742404169885,0.6406754624774343,0.6280696950452426,0.9037566938909462,0.8929970954570697,0.7764371398710924,1.3540907425754398,0.3766347389977866,0.1482030674548952,0.04560881902130635,0.05189184340568427,0.034490336810958144,0.05827871677819962,0.04560881902130635,0.03267046922735765,0.05250509692525345,0.049135923026048495,0.0413272134904453,0.038686435192086026,0.0617949453722914,0.9130654943842237,0.05862935004099841,0.03905381509958135,3
TCGA-BRCA,mofa,500,0.8030387704936696,0.7678897335152998,0.786969696969697,0.7567215290814074,0.8030387704936696,0.7938653808207516,0.6895917657525192,0.6797774844881599,0.9138991788601847,0.912995421635423,0.7856198075757709,1.072439904678607,0.3316308772143058,0.12022130819086406,0.029001741253675974,0.025519031490391374,0.015554414230726064,0.02218598774874887,0.029001741253675974,0.01385148357049849,0.020897423340252224,0.02175779249255346,0.02807706682210623,0.017150391878082292,0.06320885971986066,0.3382035305607785,0.0277542265681808,0.014511597976364789,3
TCGA-BRCA,pca_logreg,20,0.2111111111111111,0.1461111111111111,0.21666666666666667,0.14722222222222223,0.15833333333333333,0.20333333333333334,-0.03585101986190569,-0.03977799977799978,0.46944444444444455,0.4708333333333334,0.4407407407407407,27.1040066009939,1.547256714761159,0.7879886566487603,0.06938886664887109,0.05503365973387292,0.05773502691896258,0.07184731753543092,0.05204164998665332,0.06887992773257275,0.10272916691701156,0.10742283057529585,0.060921422776281396,0.06548430685625714,0.03781588491974468,1.792651406233157,0.09742775481728852,0.040817153545557955,3
TCGA-BRCA,pca_logreg,50,0.5735185185185184,0.5171844821844821,0.6666666666666666,0.5508134920634921,0.5383333333333333,0.6426180486180487,0.46861008599942694,0.4471964859397854,0.7908356481481481,0.7973425925925927,0.7162612433862433,3.6157252189605202,0.540786624808347,0.3347978820320659,0.008057151821410057,0.019741451789847417,0.07023769168568492,0.05336774550599877,0.0028867513459481953,0.053135673379319355,0.1020529813740359,0.09212901698562911,0.055150807002152566,0.060448173989651084,0.09101565454912346,2.6005062668039916,0.11543267757440115,0.027099664922030888,3
TCGA-BRCA,pca_logreg,100,0.6656060606060606,0.6588687600644122,0.7799999999999999,0.6866419691419692,0.6656060606060606,0.756876550180898,0.6498565437411579,0.6352615820640847,0.9057937260895853,0.9059425811260177,0.8300979757950012,1.0577499197976754,0.32678434043141885,0.1921166350422202,0.046975378444262014,0.05683687398396718,0.06244997998398404,0.06805910513334,0.046975378444262014,0.0672475599335224,0.10774757278625395,0.10486692430572285,0.007428370002803669,0.02826573370937198,0.045662595553941566,0.40325950665995963,0.07803878052880764,0.04800860253955404,3
TCGA-BRCA,pca_logreg,200,0.7459415584415585,0.7492639789898482,0.8083333333333332,0.7776039612387035,0.7459415584415585,0.8026745991258998,0.6956902171775878,0.6915571252712596,0.9252671057666947,0.9250105226338778,0.8374616370346025,0.5855361786672586,0.2909387745432521,0.14299809443619402,0.03330129841711039,0.04847095677339743,0.04752192476461088,0.059652203042278244,0.03330129841711039,0.04426354879256545,0.0713815377853304,0.07152583220324413,0.03861215678068537,0.028262705622341833,0.05943243756773959,0.18313752517228166,0.06400988688999881,0.023767108533481456,3
TCGA-BRCA,pca_logreg,300,0.766969696969697,0.7713646783505511,0.8044444444444444,0.8049278573055476,0.766969696969697,0.8038801706157757,0.6923083284171686,0.6884275092183261,0.9201174368161968,0.9102599408674806,0.8351895561526504,0.6733960964636078,0.31226764785413835,0.13806414436460654,0.016050795562664366,0.004992409329091018,0.010183501544346244,0.012585231263451579,0.016050795562664366,0.00846612955568181,0.011483101883417876,0.013382605027698707,0.005700593385744724,0.005027429422182658,0.011544368569070287,0.06137588169684954,0.018497823149968447,0.013474590433965029,3
TCGA-BRCA,pca_logreg,400,0.784680861773885,0.7813768529401216,0.8091666666666667,0.7956083589843485,0.784680861773885,0.8117899739540743,0.7049297268343979,0.7007403820869937,0.9329442625280869,0.9247494988522386,0.8381101068593458,0.8169464528453289,0.29456808733187523,0.12589798849179548,0.03983387084769287,0.04597604543492697,0.03986957904635227,0.05388801426899881,0.03983387084769287,0.039235068949477266,0.060529632855469105,0.06010281924562822,0.014021094919471275,0.019615187823293984,0.04087387693953141,0.34277872416860666,0.05645131988486588,0.024372590695828956,3
TCGA-BRCA,pca_logreg,500,0.8219129103331354,0.81574463078912,0.8383771043771043,0.8221721291776577,0.8219129103331354,0.8409829586183483,0.7494716800975013,0.7464632211648432,0.9517700900058713,0.9464136811575496,0.8739963483095865,0.6022024996343099,0.24609571815729772,0.1014977596469373,0.01703480697779267,0.016092252358938488,0.010293466215183449,0.016758027471242703,0.01703480697779267,0.010490780247914399,0.0176757461832723,0.017564452676042903,0.0035028867044115163,0.0009797011313721449,0.009516036269661165,0.08595221751395275,0.011042595737088401,0.006560554130177351,3
