dataset,model,n_omics,omic_combination,balanced_accuracy_mean,macro_f1_mean,accuracy_mean,macro_precision_mean,macro_recall_mean,weighted_f1_mean,mcc_mean,cohen_kappa_mean,macro_roc_auc_ovr_mean,weighted_roc_auc_ovr_mean,macro_pr_auc_ovr_mean,log_loss_mean,brier_score_mean,ece_mean,balanced_accuracy_sd,macro_f1_sd,accuracy_sd,macro_precision_sd,macro_recall_sd,weighted_f1_sd,mcc_sd,cohen_kappa_sd,macro_roc_auc_ovr_sd,weighted_roc_auc_ovr_sd,macro_pr_auc_ovr_sd,log_loss_sd,brier_score_sd,ece_sd,n_units
TCGA-LGG,pca_logreg,2,dnam+cnv,0.6593144005311778,0.656204243230892,0.6571587832457398,0.6612635851756115,0.6593144005311778,0.6561036461931736,0.32056149285474506,0.31679624276074647,0.7103825841471191,0.7103825841471191,0.7099578744191334,0.6484234216482991,0.44517938298435417,0.11816772012403705,0.0007313871927340527,0.000574250617324516,0.0011921461946438742,0.002125271359070597,0.0007313871927340527,0.0007508993482526858,0.002829683865366824,0.0017320058130682373,0.004891952230465197,0.004891952230465197,0.008222079692473098,0.01602155792169746,0.0077193477444949775,0.004316142959972945,3
TCGA-LGG,pca_logreg,2,dnam+mirna,0.6539008080328679,0.6509386394522637,0.6528428093645485,0.6569508240979575,0.6539008080328679,0.6512245284351597,0.3108202080038785,0.3066374132875104,0.7205267105080227,0.7205267105080227,0.7223925534007029,0.6843788913083036,0.454434717051265,0.14935843060985177,0.011469207642032022,0.010235025340918776,0.01037292829214857,0.013171978404882038,0.011469207642032022,0.009736066388176274,0.02461011654916189,0.02270471934513884,0.017637931433734242,0.017637931433734242,0.014015940769626178,0.014488473033325337,0.015963601279406447,0.009117172074394744,3
TCGA-LGG,pca_logreg,2,dnam+rppa,0.6618147540905016,0.658706917262701,0.659332696289218,0.6635594196221217,0.6618147540905016,0.6585887677387348,0.3253599176355402,0.3211899707134222,0.713653187666892,0.713653187666892,0.7109057520204249,0.654805378885818,0.4450853233335721,0.13622153923587962,0.004306677667024135,0.004431470544124435,0.004432988611820944,0.003907809002668925,0.004306677667024135,0.00449689928888881,0.008211853801218534,0.008673558706790568,0.005978991889403475,0.005978991889403419,0.00879000939600601,0.0013626472596993948,0.0011791950991449384,0.0036239191933944226,3
TCGA-LGG,pca_logreg,2,mirna+cnv,0.6604522922629236,0.6549954677513035,0.6565217391304348,0.6652160644986136,0.6604522922629236,0.6543911760269103,0.32558811929203174,0.31745247569015195,0.7195895910337357,0.7195895910337357,0.7197388420384986,0.6484330457750876,0.43878168553377267,0.11693834989299583,0.011616948997824873,0.011909905738793986,0.011607548096045996,0.010744633437382202,0.011616948997824873,0.011873287054309796,0.0222131184439768,0.023230530411476134,0.0031794761451552325,0.0031794761451552325,0.007716433541168611,0.013282980935339535,0.0036314622524562194,0.0004507354225253466,3
TCGA-LGG,pca_logreg,2,mrna+cnv,0.6665294976341488,0.6629387742863235,0.6637283006848224,0.6690556074852152,0.6665294976341488,0.6627270100040713,0.33556006471773875,0.33032348381988974,0.7298166690037537,0.7298166690037537,0.7321791563697091,0.6202106605840937,0.42820364510832626,0.12331583131703745,0.01714096980042205,0.017044726647568977,0.01680945084672878,0.017264675256066966,0.01714096980042205,0.016924192220062743,0.0343748456427258,0.034044109599426685,0.01471446203766123,0.01471446203766123,0.013735237884290067,0.016327665885793808,0.012655646729325452,0.004072303155615625,3
TCGA-LGG,pca_logreg,2,mrna+dnam,0.6859446386024458,0.6839913579524358,0.6849179805701545,0.6873150576788932,0.6859446386024458,0.6843086797487968,0.3732499501645221,0.37048573382607836,0.7421912977664639,0.7421912977664639,0.7412550956129297,0.638030262804782,0.4298475680399219,0.12582447529019078,0.0062782120129246674,0.005902563037037972,0.005783955165039374,0.006505124976579152,0.0062782120129246674,0.005758166724353498,0.01277568749386789,0.01213520989205146,0.009997328207970124,0.009997328207970073,0.007286415610213429,0.028322898997057516,0.01440277425956345,0.013398612092420485,3
TCGA-LGG,pca_logreg,2,mrna+mirna,0.6656705582162393,0.6616268286834038,0.6631788501353718,0.6692830810968621,0.6656705582162393,0.661397613288479,0.334902814397049,0.3292672355918029,0.7348592863854492,0.7348592863854492,0.7359596574524009,0.6386980118081088,0.4352790783531577,0.13554655792235806,0.0036402624794903953,0.0040134296440177825,0.004289705493619508,0.0037279649365818566,0.0036402624794903953,0.0041797128359596075,0.007260235671016581,0.00787386349041326,0.011057471720761339,0.011057471720761323,0.015438357102101516,0.022434808405069732,0.012312044097045807,0.011778492754757109,3
TCGA-LGG,pca_logreg,2,mrna+rppa,0.6614849251892441,0.6589492158637537,0.6593247332377766,0.6624213165293168,0.6614849251892441,0.658920304499987,0.32390144097473,0.3208234541393334,0.7221786115785286,0.7221786115785286,0.7196196669523696,0.6326435740250443,0.4362412368204163,0.1286334686640667,0.023293650079180796,0.022978677309766105,0.0230442109886415,0.023542618341553374,0.023293650079180796,0.022879534899060035,0.04683394865495049,0.0463630193649464,0.016414358616250332,0.016414358616250332,0.013599674920564242,0.019762562936633508,0.014924545498533434,0.01425807382125352,3
TCGA-LGG,pca_logreg,2,rppa+cnv,0.6467768872876847,0.6367832822006539,0.6404443382704252,0.6564790416652767,0.6467768872876847,0.6351940292518746,0.303003597892429,0.2892090783987631,0.6890267620437885,0.6890267620437887,0.6921589799583776,0.6408719812742274,0.44563446756066444,0.11245856441070601,0.008768589375902438,0.007901760535043656,0.00833238498000554,0.011080552886347256,0.008768589375902438,0.007796915193349775,0.019708107538609587,0.017065972078377005,0.010228349019350458,0.010228349019350436,0.01206499042780667,0.012824800267692265,0.007513674321791902,0.00350669181105056,3
TCGA-LGG,pca_logreg,2,rppa+mirna,0.6384409771660602,0.6347117542078796,0.6360328077719383,0.6407783983953971,0.6384409771660602,0.6345177799741436,0.2791994472752684,0.27503766498349563,0.6907211726304334,0.6907211726304334,0.6883961624653111,0.664001610998381,0.46034970392420016,0.13872771132939346,0.006283910264674355,0.006318522989490712,0.006950074477097814,0.007388697702454414,0.006283910264674355,0.006579061247041083,0.013620357209536374,0.012775605552603715,0.017668546567019206,0.017668546567019206,0.016232367167546703,0.018088727381663866,0.013558597873820995,0.011318047627777121,3
